Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0.1375,0.31632604,0.1375,-0.80783319,0.1375,-0.061377149,0.1375,-0.59999969
0.13787407,0.31632613,0.13787407,-0.8078331,0.13787407,-0.061307561,0.13787407,-0.59999969
0.140625,0.31632681,0.140625,-0.80783242,0.140625,-0.060795798,0.140625,-0.59999968
0.14099906,0.3163269,0.14099906,-0.80783233,0.14099906,-0.060727739,0.14099906,-0.59999968
0.14375,0.31632757,0.14375,-0.80783166,0.14375,-0.060227217,0.14375,-0.59999967
0.14412406,0.31632766,0.14412406,-0.80783157,0.14412406,-0.060160621,0.14412406,-0.59999967
0.14687499,0.31632833,0.14687499,-0.8078309,0.14687499,-0.059670857,0.14687499,-0.59999967
0.14724906,0.31632842,0.14724906,-0.80783081,0.14724906,-0.059605661,0.14724906,-0.59999966
0.15000001,0.3163291,0.15000001,-0.80783013,0.15000001,-0.059126202,0.15000001,-0.59999966
0.15037407,0.31632919,0.15037407,-0.80783004,0.15037407,-0.05906235,0.15037407,-0.59999966
0.153125,0.31632986,0.153125,-0.80782937,0.153125,-0.05859277,0.153125,-0.59999965
0.15349907,0.31632995,0.15349907,-0.80782928,0.15349907,-0.058530207,0.15349907,-0.59999965
0.15625,0.31633062,0.15625,-0.80782861,0.15625,-0.058070107,0.15625,-0.59999964
0.15662406,0.31633072,0.15662406,-0.80782852,0.15662406,-0.058008782,0.15662406,-0.59999964
0.159375,0.31633139,0.159375,-0.80782784,0.159375,-0.057557787,0.159375,-0.59999964
0.15974906,0.31633148,0.15974906,-0.80782775,0.15974906,-0.057497652,0.15974906,-0.59999964
0.16249999,0.31633215,0.16249999,-0.80782708,0.16249999,-0.057055409,0.16249999,-0.59999963
0.16287406,0.31633224,0.16287406,-0.80782699,0.16287406,-0.056996418,0.16287406,-0.59999963
0.16562501,0.31633291,0.16562501,-0.80782632,0.16562501,-0.056562592,0.16562501,-0.59999962
0.16599907,0.31633301,0.16599907,-0.80782622,0.16599907,-0.056504704,0.16599907,-0.59999962
0.16875,0.31633368,0.16875,-0.80782555,0.16875,-0.056078981,0.16875,-0.59999962
0.16912407,0.31633377,0.16912407,-0.80782546,0.16912407,-0.056022154,0.16912407,-0.59999961
0.171875,0.31633444,0.171875,-0.80782479,0.171875,-0.055604237,0.171875,-0.59999961
0.17224906,0.31633453,0.17224906,-0.8078247,0.17224906,-0.055548433,0.17224906,-0.59999961
0.175,0.3163352,0.175,-0.80782403,0.175,-0.055138041,0.175,-0.5999996
0.17537406,0.3163353,0.17537406,-0.80782393,0.17537406,-0.055083224,0.17537406,-0.5999996
0.17812499,0.31633597,0.17812499,-0.80782326,0.17812499,-0.054680089,0.17812499,-0.59999959
0.17849906,0.31633606,0.17849906,-0.80782317,0.17849906,-0.054626225,0.17849906,-0.59999959
0.18125001,0.31633673,0.18125001,-0.8078225,0.18125001,-0.054230095,0.18125001,-0.59999959
0.18162407,0.31633682,0.18162407,-0.80782241,0.18162407,-0.054177151,0.18162407,-0.59999959
0.184375,0.31633749,0.184375,-0.80782174,0.184375,-0.053787788,0.184375,-0.59999958
0.18474907,0.31633759,0.18474907,-0.80782165,0.18474907,-0.053735733,0.18474907,-0.59999958
0.1875,0.31633826,0.1875,-0.80782097,0.1875,-0.053352908,0.1875,-0.59999957
0.18787406,0.31633835,0.18787406,-0.80782088,0.18787406,-0.053301713,0.18787406,-0.59999957
0.190625,0.31633902,0.190625,-0.80782021,0.190625,-0.052925211,0.190625,-0.59999957
0.19099906,0.31633911,0.19099906,-0.80782012,0.19099906,-0.052874847,0.19099906,-0.59999956
